                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.3322,                 1.3196,                 1.6531,                0.73524,                0.68009,                0.74412,                0.48241,                 1.2273,                 1.0255,                 1.6141,               0.005149,               0.005149,               0.005149
                     52,                  1.329,                 1.3118,                 1.6539,                0.75283,                0.66432,                0.74074,                0.48041,                   1.23,                 1.0243,                 1.6177,                0.00505,                0.00505,                0.00505
                     53,                 1.3276,                 1.3075,                 1.6477,                0.73874,                 0.6751,                0.74207,                0.48455,                 1.2194,                 1.0209,                 1.6085,               0.004951,               0.004951,               0.004951
                     54,                 1.3202,                 1.2997,                 1.6491,                0.73784,                0.68329,                0.74753,                0.48644,                 1.2217,                 1.0167,                 1.6074,               0.004852,               0.004852,               0.004852
                     55,                 1.3187,                 1.2969,                 1.6422,                0.74929,                0.67667,                0.74717,                0.48631,                 1.2136,                 1.0136,                 1.6036,               0.004753,               0.004753,               0.004753
                     56,                 1.3108,                 1.2898,                 1.6398,                 0.7469,                0.67966,                0.74855,                0.48663,                   1.22,                 1.0079,                 1.6084,               0.004654,               0.004654,               0.004654
                     57,                 1.3105,                 1.2743,                 1.6326,                0.73621,                0.68677,                0.74743,                0.48753,                 1.2187,                 1.0069,                 1.6032,               0.004555,               0.004555,               0.004555
                     58,                 1.3102,                 1.2725,                  1.628,                0.74474,                0.68361,                0.74827,                0.48848,                 1.2152,                 1.0039,                 1.6022,               0.004456,               0.004456,               0.004456
                     59,                 1.3056,                 1.2789,                 1.6295,                0.73812,                0.68882,                0.75002,                0.48884,                 1.2148,                 1.0043,                 1.5983,               0.004357,               0.004357,               0.004357
                     60,                 1.3018,                 1.2623,                 1.6263,                0.72979,                0.69364,                0.75088,                0.48987,                 1.2149,                  1.001,                  1.599,               0.004258,               0.004258,               0.004258
                     61,                 1.3002,                 1.2551,                 1.6226,                0.73758,                0.69002,                0.75128,                0.49031,                 1.2111,                0.99591,                 1.5963,               0.004159,               0.004159,               0.004159
                     62,                  1.295,                 1.2584,                 1.6179,                0.73983,                0.68963,                0.74998,                0.49028,                 1.2107,                0.99527,                 1.5938,                0.00406,                0.00406,                0.00406
                     63,                 1.2896,                 1.2625,                 1.6186,                0.74196,                0.68716,                0.75045,                0.49194,                 1.2083,                0.99429,                 1.5879,               0.003961,               0.003961,               0.003961
                     64,                 1.2923,                 1.2532,                 1.6157,                0.73269,                 0.6961,                0.74978,                 0.4912,                 1.2085,                0.99586,                 1.5912,               0.003862,               0.003862,               0.003862
                     65,                 1.2859,                 1.2415,                  1.607,                0.73913,                 0.6905,                0.75151,                0.49285,                 1.2045,                0.98938,                 1.5854,               0.003763,               0.003763,               0.003763
                     66,                  1.287,                 1.2396,                 1.6035,                0.74212,                0.68836,                0.75314,                0.49342,                  1.207,                0.98682,                 1.5877,               0.003664,               0.003664,               0.003664
                     67,                 1.2759,                 1.2394,                 1.6014,                0.74809,                0.68532,                0.75465,                0.49517,                 1.2085,                0.98666,                 1.5895,               0.003565,               0.003565,               0.003565
                     68,                 1.2771,                 1.2304,                 1.5975,                0.74674,                0.68707,                0.75473,                0.49605,                 1.2046,                0.98279,                 1.5839,               0.003466,               0.003466,               0.003466
                     69,                 1.2676,                 1.2187,                 1.5929,                0.73933,                0.69327,                0.75551,                0.49596,                 1.2046,                0.98384,                 1.5833,               0.003367,               0.003367,               0.003367
                     70,                 1.2715,                 1.2108,                 1.5947,                0.75454,                0.68387,                0.75616,                 0.4964,                 1.2044,                0.98128,                 1.5828,               0.003268,               0.003268,               0.003268
                     71,                 1.2668,                 1.2069,                  1.589,                0.74957,                0.69119,                0.75664,                0.49792,                 1.2055,                0.97898,                 1.5824,               0.003169,               0.003169,               0.003169
                     72,                 1.2718,                 1.2075,                 1.5936,                0.75509,                0.68603,                0.75757,                0.49892,                 1.2048,                0.97648,                 1.5815,                0.00307,                0.00307,                0.00307
                     73,                 1.2622,                 1.2043,                  1.584,                0.75313,                0.68684,                 0.7567,                0.49747,                 1.2068,                 0.9774,                 1.5821,               0.002971,               0.002971,               0.002971
                     74,                 1.2663,                 1.2018,                 1.5877,                0.73645,                 0.6973,                0.75588,                0.49727,                 1.2056,                0.97716,                  1.582,               0.002872,               0.002872,               0.002872
                     75,                 1.2587,                  1.196,                 1.5827,                0.74793,                0.69026,                0.75684,                0.49798,                 1.2007,                0.97377,                  1.578,               0.002773,               0.002773,               0.002773
