                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.3001,                 1.2544,                 1.5617,                0.76551,                0.66129,                0.74759,                0.48306,                 1.1943,                 1.0011,                 1.4822,               0.003169,               0.003169,               0.003169
                     72,                 1.2996,                 1.2508,                 1.5642,                0.75769,                0.66196,                0.74744,                0.48437,                 1.1932,                0.99866,                 1.4825,                0.00307,                0.00307,                0.00307
                     73,                  1.289,                 1.2525,                 1.5543,                0.77342,                0.65995,                0.74894,                0.48442,                 1.1933,                0.99697,                 1.4821,               0.002971,               0.002971,               0.002971
                     74,                 1.2944,                 1.2487,                 1.5559,                0.76683,                0.66273,                0.74821,                0.48597,                 1.1902,                0.99427,                 1.4788,               0.002872,               0.002872,               0.002872
                     75,                 1.2866,                 1.2418,                 1.5535,                0.76794,                0.66286,                0.74918,                0.48626,                  1.189,                0.99229,                 1.4787,               0.002773,               0.002773,               0.002773
                     76,                 1.2885,                 1.2347,                 1.5551,                0.76206,                0.66775,                0.74858,                0.48529,                 1.1903,                0.99208,                 1.4799,               0.002674,               0.002674,               0.002674
                     77,                 1.2889,                 1.2353,                 1.5539,                0.76226,                0.66748,                 0.7496,                0.48601,                 1.1902,                0.99281,                 1.4791,               0.002575,               0.002575,               0.002575
                     78,                  1.287,                  1.236,                 1.5459,                0.75957,                0.66759,                0.75077,                0.48561,                 1.1916,                0.99048,                 1.4792,               0.002476,               0.002476,               0.002476
                     79,                 1.2773,                  1.225,                 1.5382,                0.75645,                0.67062,                0.75031,                0.48581,                 1.1905,                0.98987,                 1.4768,               0.002377,               0.002377,               0.002377
                     80,                 1.2706,                 1.2221,                 1.5364,                0.76072,                0.66694,                 0.7494,                0.48504,                 1.1902,                0.98923,                 1.4757,               0.002278,               0.002278,               0.002278
                     81,                 1.2797,                  1.216,                 1.5428,                0.75386,                0.67132,                0.74943,                0.48536,                 1.1906,                0.98801,                 1.4765,               0.002179,               0.002179,               0.002179
                     82,                 1.2703,                 1.1978,                 1.5343,                0.75826,                0.66574,                0.74931,                0.48637,                 1.1908,                0.98686,                 1.4767,                0.00208,                0.00208,                0.00208
                     83,                 1.2772,                 1.2057,                 1.5374,                0.75686,                0.66887,                0.74937,                0.48661,                 1.1913,                0.98711,                 1.4756,               0.001981,               0.001981,               0.001981
                     84,                 1.2654,                 1.1947,                 1.5288,                0.75668,                0.67134,                0.75007,                0.48642,                  1.192,                0.98553,                 1.4759,               0.001882,               0.001882,               0.001882
                     85,                 1.2626,                 1.1942,                 1.5268,                0.76323,                0.66908,                0.75065,                0.48685,                 1.1921,                0.98377,                 1.4752,               0.001783,               0.001783,               0.001783
                     86,                 1.2614,                 1.1873,                 1.5259,                0.76259,                0.67121,                0.75158,                0.48684,                 1.1916,                 0.9828,                  1.474,               0.001684,               0.001684,               0.001684
                     87,                 1.2559,                 1.1726,                 1.5212,                0.75869,                0.67518,                0.75169,                0.48754,                 1.1904,                0.98262,                 1.4728,               0.001585,               0.001585,               0.001585
                     88,                  1.253,                  1.172,                 1.5205,                0.75586,                0.67773,                0.75139,                0.48722,                   1.19,                0.98214,                 1.4725,               0.001486,               0.001486,               0.001486
                     89,                 1.2575,                 1.1737,                 1.5201,                0.75914,                0.67485,                0.75096,                0.48693,                 1.1904,                0.98157,                  1.472,               0.001387,               0.001387,               0.001387
                     90,                 1.2515,                 1.1651,                  1.518,                  0.755,                 0.6791,                0.75182,                0.48702,                 1.1905,                0.98018,                 1.4714,               0.001288,               0.001288,               0.001288
                     91,                 1.2064,                0.99445,                 1.4728,                0.75365,                 0.6781,                0.75221,                0.48803,                 1.1909,                0.97907,                 1.4711,               0.001189,               0.001189,               0.001189
                     92,                 1.1917,                0.97389,                 1.4639,                0.75245,                0.68179,                0.75205,                0.48777,                 1.1901,                0.97755,                 1.4704,                0.00109,                0.00109,                0.00109
                     93,                 1.1885,                0.96579,                 1.4572,                0.75375,                0.68087,                0.75275,                  0.488,                 1.1903,                0.97623,                 1.4702,               0.000991,               0.000991,               0.000991
                     94,                 1.1826,                0.95381,                 1.4565,                0.75903,                0.67677,                0.75261,                0.48767,                 1.1898,                0.97571,                 1.4697,               0.000892,               0.000892,               0.000892
                     95,                 1.1791,                0.94452,                 1.4519,                0.76482,                 0.6739,                0.75291,                0.48749,                 1.1898,                0.97511,                 1.4696,               0.000793,               0.000793,               0.000793
                     96,                  1.173,                0.94248,                 1.4454,                0.76208,                0.67676,                0.75357,                0.48787,                 1.1898,                0.97462,                 1.4693,               0.000694,               0.000694,               0.000694
                     97,                  1.165,                0.93341,                 1.4399,                0.76726,                0.67556,                0.75429,                0.48808,                 1.1899,                0.97429,                 1.4694,               0.000595,               0.000595,               0.000595
                     98,                 1.1595,                0.92744,                 1.4384,                0.76669,                0.67894,                 0.7542,                 0.4878,                 1.1899,                0.97369,                 1.4694,               0.000496,               0.000496,               0.000496
                     99,                  1.159,                  0.921,                 1.4391,                0.76769,                0.67971,                0.75422,                0.48837,                 1.1899,                0.97397,                 1.4697,               0.000397,               0.000397,               0.000397
                    100,                 1.1551,                0.91322,                 1.4316,                0.76909,                0.68004,                0.75409,                0.48849,                   1.19,                0.97352,                 1.4698,               0.000298,               0.000298,               0.000298
